iter	RMSE
0	9.389321648
1	9.073061211
2	8.776587543
3	8.489078836
4	8.224537501
5	7.962087454
6	7.701201922
7	7.462051541
8	7.221261963
9	7.021104244
10	6.812983259
11	6.597745916
12	6.423151663
13	6.222533295
14	6.030317982
15	5.877577522
16	5.707391746
17	5.540438686
18	5.391592154
19	5.252654997
20	5.110683258
21	4.990647427
22	4.863194854
23	4.734058613
24	4.604797197
25	4.479733191
26	4.370809999
27	4.255294353
28	4.145592808
29	4.042577922
30	3.939548224
31	3.846551556
32	3.753324141
33	3.657908739
34	3.569848422
35	3.486352869
36	3.409457491
37	3.333158202
38	3.270142102
39	3.2024279
40	3.139105229
41	3.066162305
42	3.007990993
43	2.959047072
44	2.906119474
45	2.855892917
46	2.807334709
47	2.754616651
48	2.710813008
49	2.660485343
50	2.616869838
51	2.572647269
52	2.525853459
53	2.4802204
54	2.447730764
55	2.418339432
56	2.387266681
57	2.359261324
58	2.336806864
59	2.305972346
60	2.271255674
61	2.242110401
62	2.214567946
63	2.195493118
64	2.168886938
65	2.148283373
66	2.123215654
67	2.112550203
68	2.087323663
69	2.07043431
70	2.050076307
71	2.031319785
72	2.019776226
73	2.003431725
74	1.986620357
75	1.9726675
76	1.961806439
77	1.948903316
78	1.938723985
79	1.927734185
80	1.917466425
81	1.911354956
82	1.902538923
83	1.891645479
84	1.883900268
85	1.874484185
86	1.868669969
87	1.860227843
88	1.857936638
89	1.854958075
90	1.845891447
91	1.838221462
92	1.83205975
93	1.829439987
94	1.822583317
95	1.81470785
96	1.810251843
97	1.805079806
98	1.799427877
99	1.793792665
100	1.788496779
101	1.783729554
102	1.777609968
103	1.774733411
104	1.769973766
105	1.769180633
106	1.767694974
107	1.763391154
108	1.758735676
109	1.755221749
110	1.752039187
111	1.746492971
112	1.74305679
113	1.738524346
114	1.734909209
115	1.734389845
116	1.733488109
117	1.731651313
118	1.730137106
119	1.727630002
120	1.725630983
121	1.710863304
122	1.70960172
123	1.701474173
124	1.700325358
125	1.697977976
126	1.688457323
127	1.688298003
128	1.685949205
129	1.684997065
130	1.68269919
131	1.682586176
132	1.682197567
133	1.680672045
134	1.680578236
135	1.677611267
136	1.676069471
137	1.675647851
138	1.675572745
139	1.675503213
140	1.674748379
141	1.670810547
142	1.669305763
143	1.668465491
144	1.666362987
145	1.664449609
146	1.664406369
147	1.66229616
148	1.662259084
149	1.661214141
150	1.660963994
151	1.659886735
152	1.658579064
153	1.658554072
154	1.65746787
155	1.657446219
156	1.656824458
157	1.656804719
158	1.655855811
159	1.653798467
160	1.651619876
161	1.651077684
162	1.649285083
163	1.628376045
164	1.628313045
165	1.625594735
166	1.625124543
167	1.623601233
168	1.622188452
169	1.621457415
170	1.620621163
171	1.620088968
172	1.61841425
173	1.618403562
174	1.608088627
175	1.608031198
176	1.607977972
177	1.607615973
178	1.607607254
179	1.605810449
180	1.605800668
181	1.604668846
182	1.604622199
183	1.604143381
184	1.603643654
185	1.603634045
186	1.602451378
187	1.602414405
188	1.602406961
189	1.601831915
190	1.601056752
191	1.601050047
192	1.575926952
193	1.57478843
194	1.573683764
195	1.573650727
196	1.572275065
197	1.572267162
198	1.571085621
199	1.571054555
200	1.570580313
201	1.552258399
202	1.551227918
203	1.551201388
204	1.551194146
205	1.551187417
206	1.551129677
207	1.550594915
208	1.550589401
209	1.550566066
210	1.544690273
211	1.524952527
212	1.524947442
213	1.524763475
214	1.499310694
215	1.498344709
216	1.498326199
217	1.498308883
218	1.498140357
219	1.497628357
220	1.497622981
221	1.497608511
222	1.497229985
223	1.495813415
224	1.47694989
225	1.476573204
226	1.476434649
227	1.476411421
228	1.476400311
229	1.475907981
230	1.47590724
231	1.475897811
232	1.475893769
233	1.4758902
234	1.464760567
235	1.464089365
236	1.464085224
237	1.46407694
238	1.464069336
239	1.463841524
240	1.463837517
241	1.447589324
242	1.447478006
243	1.4474721
244	1.446723412
245	1.446439814
246	1.44569348
247	1.445688323
248	1.445683648
249	1.445679247
250	1.445097828
251	1.444392576
252	1.444313704
253	1.444313428
254	1.444223677
255	1.443383019
256	1.44338054
257	1.427784735
258	1.427058179
259	1.427056229
260	1.427052049
261	1.426778824
262	1.426499693
263	1.426496069
264	1.425782034
265	1.425780082
266	1.4257782
267	1.403718201
268	1.403563743
269	1.403513245
270	1.38258381
271	1.38245151
272	1.381749247
273	1.380930664
274	1.380652775
275	1.380651839
276	1.380650975
277	1.380598487
278	1.366848783
279	1.366073374
280	1.36537237
281	1.36500065
282	1.365000286
283	1.364793813
284	1.350323444
285	1.350231862
286	1.35023142
287	1.338527919
288	1.338527622
289	1.338439987
290	1.338345215
291	1.338344844
292	1.338255413
293	1.338209062
294	1.337649745
295	1.337389101
296	1.33702343
297	1.336532119
298	1.336497385
299	1.336497311
300	1.319447591
301	1.319415873
302	1.319225775
303	1.319225624
304	1.319196161
305	1.319165341
306	1.319165266
307	1.319165115
308	1.319015904
309	1.307270342
310	1.307270037
311	1.307269961
312	1.307252852
313	1.29504468
314	1.295044527
315	1.294930151
316	1.294836341
317	1.294376555
318	1.294376401
319	1.282223012
320	1.282222663
321	1.28174575
322	1.281745634
323	1.28174544
324	1.280890886
325	1.280868535
326	1.28086838
327	1.280867992
328	1.280818516
329	1.26382851
330	1.251499333
331	1.251182251
332	1.251181814
333	1.250561755
334	1.243261888
335	1.243261409
336	1.234876849
337	1.234571481
338	1.234564677
339	1.234515439
340	1.234420983
341	1.234336828
342	1.234149532
343	1.233932885
344	1.233932079
345	1.223701098
346	1.223695371
347	1.223657677
348	1.216351624
349	1.215761348
350	1.201615357
351	1.201327764
352	1.201327019
353	1.187829103
354	1.187789937
355	1.18778889
356	1.187748091
357	1.187740559
358	1.187358354
359	1.187102143
360	1.187087321
361	1.18668275
362	1.186681954
363	1.186674499
364	1.186670561
365	1.186669766
366	1.186614854
367	1.186609325
368	1.186450816
369	1.186180665
370	1.186179701
371	1.186179157
372	1.186178654
373	1.185889916
374	1.18588912
375	1.185881366
376	1.185869882
377	1.185864685
378	1.185860661
379	1.185833962
380	1.185827298
381	1.185826795
382	1.185631752
383	1.185626009
384	1.178355453
385	1.178354989
386	1.178349927
387	1.169591457
388	1.169245574
389	1.169064006
390	1.169063538
391	1.161041469
392	1.160876814
393	1.160872318
394	1.160871847
395	1.160871419
396	1.160815416
397	1.160694408
398	1.16069398
399	1.160693551
400	1.160580454
401	1.160580154
402	1.160489445
403	1.160489017
404	1.160362407
405	1.148664085
406	1.148608308
407	1.148546168
408	1.148339902
409	1.136699314
410	1.136698833
411	1.136698308
