iter	Passed	Remaining
0	3	3519
1	8	4424
2	12	4002
3	16	4038
4	19	3851
5	22	3685
6	26	3808
7	30	3733
8	34	3840
9	37	3675
10	40	3670
11	45	3710
12	49	3739
13	54	3837
14	59	3936
15	62	3821
16	65	3815
17	70	3833
18	73	3804
19	76	3753
20	81	3790
21	84	3773
22	89	3808
23	93	3804
24	97	3807
25	103	3861
26	107	3885
27	113	3940
28	118	3960
29	125	4051
30	130	4070
31	133	4040
32	141	4153
33	147	4179
34	152	4196
35	158	4245
36	164	4283
37	170	4316
38	174	4297
39	180	4325
40	186	4352
41	192	4382
42	195	4352
43	199	4324
44	202	4304
45	208	4320
46	213	4331
47	218	4343
48	224	4359
49	229	4365
50	233	4352
51	239	4364
52	244	4368
53	249	4372
54	254	4369
55	257	4332
56	261	4322
57	265	4310
58	268	4287
59	274	4299
60	279	4307
61	285	4315
62	291	4334
63	294	4312
64	298	4295
65	304	4313
66	310	4323
67	315	4329
68	321	4341
69	326	4335
70	331	4335
71	336	4340
72	339	4317
73	344	4317
74	348	4297
75	353	4299
76	357	4284
77	360	4267
78	365	4257
79	370	4260
80	375	4263
81	379	4244
82	384	4246
83	389	4252
84	393	4232
85	398	4233
86	401	4210
87	404	4196
88	407	4168
89	409	4141
90	413	4134
91	417	4122
92	422	4125
93	427	4118
94	432	4119
95	438	4126
96	443	4128
97	447	4120
98	452	4119
99	457	4120
100	463	4121
101	467	4117
102	472	4118
103	477	4112
104	481	4104
105	484	4082
106	488	4074
107	491	4060
108	496	4060
109	501	4055
110	504	4037
111	509	4037
112	514	4038
113	519	4034
114	523	4029
115	526	4009
116	528	3990
117	531	3976
118	535	3965
119	540	3964
120	545	3963
121	551	3965
122	555	3958
123	559	3953
124	565	3960
125	574	3983
126	581	3997
127	585	3987
128	590	3988
129	593	3974
130	599	3973
131	602	3962
132	605	3948
133	609	3939
134	613	3929
135	619	3935
136	622	3924
137	625	3908
138	628	3895
139	632	3884
140	635	3873
141	641	3874
142	645	3870
143	651	3872
144	655	3865
145	659	3859
146	662	3846
147	668	3847
148	671	3833
149	675	3827
150	678	3814
151	681	3803
152	686	3801
153	689	3785
154	693	3780
155	695	3764
156	699	3758
157	702	3742
158	705	3730
159	710	3728
160	715	3728
161	719	3720
162	724	3720
163	729	3720
164	733	3712
165	737	3707
166	742	3702
167	745	3693
168	750	3689
169	752	3675
170	757	3670
171	760	3661
172	765	3660
173	768	3646
174	773	3645
175	775	3632
176	778	3621
177	781	3610
178	784	3599
179	789	3598
180	792	3585
181	797	3584
182	800	3572
183	802	3559
184	807	3557
185	810	3546
186	814	3543
187	818	3535
188	821	3525
189	824	3513
190	828	3509
191	832	3502
192	837	3503
193	842	3499
194	847	3499
195	850	3490
196	855	3486
197	858	3476
198	861	3469
199	864	3459
200	870	3459
201	875	3458
202	880	3458
203	883	3448
204	886	3438
205	889	3426
206	891	3415
207	895	3411
208	898	3402
209	901	3390
210	906	3390
211	912	3390
212	915	3381
213	918	3373
214	923	3371
215	929	3371
216	931	3361
217	934	3352
218	938	3345
219	941	3337
220	944	3327
221	947	3318
222	949	3308
223	954	3306
224	959	3306
225	963	3301
226	966	3292
227	970	3285
228	972	3275
229	978	3274
230	980	3264
231	982	3253
232	985	3244
233	988	3235
234	993	3233
235	998	3233
236	1001	3223
237	1003	3213
238	1006	3204
239	1009	3196
240	1012	3188
241	1017	3186
242	1020	3177
243	1022	3168
244	1027	3167
245	1032	3165
246	1037	3164
247	1040	3156
248	1043	3148
249	1046	3140
250	1051	3138
251	1056	3135
252	1059	3126
253	1061	3118
254	1064	3110
255	1070	3109
256	1072	3100
257	1077	3100
258	1083	3099
259	1085	3090
260	1088	3081
261	1091	3074
262	1095	3069
263	1098	3061
264	1103	3060
265	1106	3051
266	1108	3044
267	1114	3044
268	1119	3041
269	1122	3035
270	1128	3035
271	1132	3031
272	1137	3030
273	1143	3029
274	1146	3023
275	1149	3016
276	1152	3007
277	1155	2999
278	1160	2998
279	1165	2996
280	1170	2995
281	1175	2992
282	1177	2984
283	1182	2982
284	1187	2980
285	1191	2974
286	1194	2966
287	1199	2965
288	1201	2957
289	1204	2949
290	1208	2943
291	1210	2936
292	1214	2929
293	1217	2923
294	1222	2921
295	1228	2920
296	1232	2916
297	1237	2914
298	1241	2909
299	1243	2901
300	1248	2899
301	1253	2897
302	1257	2891
303	1259	2883
304	1262	2876
305	1266	2872
306	1268	2864
307	1271	2855
308	1273	2848
309	1279	2846
310	1281	2839
311	1284	2831
312	1286	2823
313	1291	2821
314	1294	2814
315	1297	2809
316	1301	2803
317	1306	2802
318	1310	2796
319	1315	2794
320	1317	2787
321	1323	2786
322	1326	2780
323	1329	2772
324	1334	2771
325	1338	2766
326	1341	2760
327	1344	2754
328	1347	2747
329	1352	2745
330	1357	2743
331	1361	2740
332	1364	2732
333	1369	2730
334	1375	2731
335	1378	2724
336	1383	2721
337	1388	2719
338	1392	2715
339	1395	2708
340	1399	2705
341	1404	2701
342	1407	2696
343	1412	2693
344	1414	2686
345	1419	2683
346	1425	2682
347	1428	2676
348	1434	2675
349	1439	2673
350	1444	2671
351	1449	2668
352	1451	2661
353	1457	2659
354	1460	2653
355	1463	2646
356	1467	2643
357	1470	2636
358	1475	2634
359	1478	2627
360	1480	2620
361	1485	2617
362	1488	2612
363	1491	2606
364	1494	2600
365	1497	2593
366	1499	2586
367	1502	2580
368	1507	2578
369	1512	2575
370	1515	2569
371	1518	2562
372	1520	2556
373	1526	2555
374	1529	2549
375	1533	2545
376	1536	2538
377	1539	2532
378	1541	2525
379	1544	2519
380	1547	2513
381	1550	2507
382	1555	2506
383	1559	2501
384	1564	2499
385	1567	2492
386	1571	2489
387	1577	2487
388	1582	2485
389	1585	2480
390	1589	2476
391	1595	2474
392	1598	2469
393	1602	2464
394	1605	2459
395	1608	2453
396	1612	2449
397	1616	2444
398	1619	2439
399	1622	2433
400	1625	2427
401	1628	2422
402	1632	2419
403	1635	2413
404	1641	2411
405	1646	2409
406	1652	2407
407	1656	2402
408	1661	2400
409	1666	2398
410	1669	2393
411	1672	2386
412	1674	2380
413	1677	2374
414	1679	2368
415	1685	2365
416	1689	2362
417	1694	2359
418	1696	2352
419	1701	2349
420	1704	2343
421	1707	2338
422	1710	2332
423	1712	2326
424	1718	2324
425	1721	2319
426	1724	2314
427	1727	2309
428	1730	2303
429	1736	2301
430	1738	2295
431	1742	2290
432	1747	2288
433	1750	2283
434	1756	2281
435	1760	2277
436	1763	2271
437	1768	2269
438	1774	2267
439	1779	2264
440	1783	2261
441	1786	2255
442	1791	2252
443	1797	2250
444	1802	2248
445	1807	2245
446	1810	2239
447	1815	2236
448	1818	2231
449	1821	2226
450	1823	2220
451	1826	2214
452	1831	2211
453	1834	2206
454	1837	2201
455	1840	2195
456	1843	2190
457	1848	2187
458	1851	2182
459	1855	2177
460	1858	2172
461	1861	2167
462	1863	2161
463	1866	2156
464	1869	2151
465	1872	2145
466	1877	2143
467	1880	2137
468	1883	2132
469	1886	2127
